idx,inference_time(localize),inference_time(recognize),result,,
128,47.939999,670.130005,54oo5644,,
129,48,670.679993,60ba7402,,
130,48.119999,670.869995,gyeonggi94sa5016,,
131,48.720001,672.150024,82gu1160,,
132,47.720001,670.179993,40go0502,,
133,48.290001,670.590027,75joe7632,,
135,47.73,670.27002,39ba2307,,
136,47.810001,670.369995,27su1481,,
137,48.189999,670.530029,29boe923,,
138,47.509998,670.130005,89ga9151,,
139,49.5,672.190002,daegu80ba6851,,
140,48.630001,671.400024,40doe3377,,
141,47.599998,669.859985,63oo4026,,
142,49.43,672.47998,93mo4125,,
143,47.91,669.98999,16joe6170,,
144,47.82,670.349976,35ju1542,,
145,49.369999,671.619995,85nu5131,,
146,47.5,669.799988,80joe9557,,
147,47.919998,670.460022,851mu8055,,
148,48.599998,670.859985,35ha1622,,
149,48.43,671.02002,57boe5150,,
150,48.869999,671.320007,02so7188,,
151,48.34,670.659973,46ju3203,,
152,48.209999,671.369995,busan30ro3899,,
153,48,670.320007,20na6805,,
154,47.75,670.280029,43ru0220,,
155,48.200001,671.97998,95ru7518,,
156,49.57,671.76001,59moe8023,,
157,49.029999,671.200012,12su5260,,
158,48.610001,670.789978,30wu0999,,
159,49.200001,671.659973,chungbuk14go628,,
160,47.77,670.5,36ho7396,,
161,49.130001,671.650024,incheon86aa2354,,
162,48.580002,671.299988,84nu3340,,
163,48.32,670.669983,chungbuk82aa2575,,
164,48.82,671.030029,31ro861,,
165,49.630001,672.049988,37mo1089,,
166,48.150002,670.48999,gyeongnam81sa5142,,
167,48.779999,671.359985,08bu0472,,
168,48.139999,670.630005,04ha928,,
169,49.23,671.719971,39ho4210,,
170,48.830002,671.570007,30mo184,,
171,48.5,671.039978,seoul85ba4295,,
172,48.529999,671.130005,20bu4692,,
173,48.779999,671.460022,71moe579,,
174,48.610001,670.890015,20goe2014,,
175,49.119999,671.469971,95su9304,,
176,49.459999,672.419983,73ra2357,,
177,48.34,671.01001,09wu4514,,
178,47.700001,669.849976,63wu3799,,
179,49.060001,671.48999,38gu7893,,
180,48.709999,670.97998,43mo9726,,
181,47.650002,671,51ro3525,,
182,48.419998,670.780029,40bo6941,,
183,48.77,671.280029,56moe3651,,
184,47.91,670.650024,50ra1293,,
185,49.560001,672.02002,6do6917,,
186,48.77,671.130005,26bu5615,,
187,47.82,670.090027,47mo9274,,
188,48.529999,670.619995,gyeongnam81sa4256,,
189,49.470001,672.049988,82mu3179,,
190,47.560001,669.650024,17gu9282,,
191,47.759998,670.48999,29hoe8923,,
192,48.009998,670.320007,1mu6397,,
193,48.279999,670.700012,daejeon87aa2672,,
194,47.880001,670.039978,21na3956,,
195,48.099998,671.76001,52ra3513,,
196,48.049999,670.549988,54do347,,
197,47.400002,669.359985,jeonbuk98sa4157,,
198,49.200001,672.330017,49doe5533,,
199,49.060001,671.73999,83no5366,,
200,49.009998,671.619995,68goe6619,,
201,48.82,671.049988,81ru8565,,
202,48.529999,670.72998,74ra8092,,
203,47.509998,670.119995,06ra7594young,,
204,48.279999,670.609985,busan95aa9251,,
205,49.150002,671.190002,gyeongbuk99aa4305,,
206,48.790001,671.22998,20ga165,,
207,47.93,670.780029,80na8810,,
208,48.389999,670.869995,95roe914,,
209,47.98,670.460022,93ru3467,,
210,49.310001,671.73999,08so4775,,
211,49.32,671.650024,45ra9550,,
212,48.07,670.72998,91mo340,,
213,47.669998,670.590027,49ha931,,
214,48.959999,672.02002,47bo8623,,
215,47.799999,670.130005,23nu1655,,
216,47.990002,670.190002,13aoe5953,,
217,49.389999,671.950012,05ho219,,
218,48.639999,671.22998,70soe2632,,
219,47.610001,670.349976,jeonbuk86sa1832,,
220,48.549999,670.849976,ju2254,,
221,48.470001,670.909973,daejeon75ba6383,,
222,48.209999,670.76001,chungnam86ba2711,,
223,48.080002,670.559998,61roe7132,,
224,49.189999,673.059998,32ra7625,,
225,49.580002,672.559998,55joe7288,,
226,47.889999,669.77002,17bu1650,,
227,48.029999,671.080017,93gu1423,,
228,48.32,670.76001,69gu7601,,
229,48.380001,670.859985,55doe9926,,
230,47.68,670.200012,18do461,,
231,48.169998,670.809998,01hoe6496,,
232,48.830002,672.52002,28moe3588,,
233,49.389999,672.27002,32mu8178,,
234,48.66,671.599976,06bu4781,,
235,47.48,669.830017,49bu6470,,
236,48.34,670.929993,41joe3465,,
237,48.400002,671.190002,58go2872,,
238,48.209999,670.880005,99ba3733,,
239,47.700001,669.880005,95na1140,,
240,48.799999,671.880005,oo,,
241,49.200001,671.380005,23wu5464,,
242,47.41,670.039978,82mo6295,,
243,47.98,670.460022,38su1609,,
244,48.32,670.97998,95du6817,,
245,48.43,671.130005,16go481,,
246,48.939999,671.820007,27su1181,,
247,49.290001,671.530029,69jo8629,,
248,48.98,671.02002,426619,,
249,49.18,671.75,08noe6009,,
250,48.43,671.969971,05bo7868,,
251,48.130001,670.419983,26ju9819,,
252,49.099998,671.76001,64ho4022,,
253,47.860001,671.280029,daejeon31roe5208,,
254,48.18,670.599976,gyeonggi95ja8801,,
255,47.619999,670.570007,84nu9385,,
256,49.130001,671.580017,48gu595,,
257,48.34,670.590027,81aoe4273,,
258,49.419998,672.200012,48moe4720,,
259,47.939999,670.179993,55nu0383,,
260,49.349998,671.820007,47no728,,
261,48.220001,670.900024,7hoe6178,,
262,49.450001,671.400024,62bo3050,,
263,48.209999,670.869995,6oo3653,,
264,48.630001,671.380005,35noe8864,,
265,49.310001,671.659973,30aoe9849,,
266,48.869999,672.75,162go7939,,
267,48.880001,672.01001,16ra521,,
268,48.959999,671.400024,10ro1656,,
269,47.950001,670.400024,66gu1508,,
270,48.360001,670.679993,37bo8138,,
271,48.220001,670.630005,81mu5681,,
272,47.959999,670.380005,47mo5792,,
273,47.419998,671.210022,68no5713,,
274,47.509998,669.809998,82ba6595,,
275,49.380001,671.619995,42boe8457,,
276,47.810001,670.390015,67da2312,,
277,49.400002,671.849976,97go7876,,
278,48.150002,670.530029,88ja5907,,
279,49.150002,671.559998,63goe5737,,
280,48.18,670.869995,60ga2175,,
281,48.849998,671.469971,85mo8183,,
282,49.049999,671.109985,gyeonggi81ba4259,,
283,47.509998,669.640015,ju3850,,
284,49.169998,671.859985,07da4519,,
285,49.400002,671.590027,gwangju82aa1215,,
286,49.509998,672.130005,93da1023,,
287,49.360001,674.380005,30ju6327,,
288,48.450001,670.77002,20ro524,,
289,48.369999,670.789978,61joe8763,,
290,49.310001,671.97998,85no4384,,
291,48.400002,670.940002,62oo0519,,
292,49.049999,671.849976,04noe3287,,
293,48.439999,670.809998,67ju0901,,
294,47.580002,669.75,03ra1132,,
295,48.02,670.719971,26su091,,
296,48.389999,670.900024,39noe5577,,
297,49.360001,672.320007,45nu912,,
298,49.290001,671.580017,chungbuk80aa3005,,
299,47.900002,669.940002,23no6095,,
300,47.709999,669.929993,26do3922,,
301,48.73,670.76001,42roe3207,,
302,47.709999,669.929993,gyeongnam82sa3649,,
303,48.740002,671.330017,97ra8930,,
304,48.889999,671.02002,95go2917,,
305,47.950001,670.340027,62nu3931,,
306,49.16,671.710022,94ju3655,,
307,49.150002,671.419983,80joe9151,,
308,48.490002,670.799988,40su678,,
309,49.150002,671.48999,35ma0147,,
310,48.16,670.580017,busan91ba1258,,
311,47.459999,670.109985,95no1558,,
312,48.349998,671.090027,47go146,,
313,47.900002,670.419983,35ha8709,,
314,48.810001,671.409973,67wu0810,,
315,47.810001,671.23999,59bo5587,,
316,47.470001,670.929993,59so4318,,
317,47.639999,670.200012,35mu2595,,
318,47.400002,670.47998,26gu2948,,
319,49.259998,671.27002,seoul88aa1620,,
320,48.380001,670.780029,52wu643,,
321,48.189999,670.919983,29doe939,,
322,49.669998,671.840027,gyeongbuk86ba2455,,
323,47.599998,671.200012,91ba8690,,
324,48.419998,671.669983,30nu3052,,
325,49.459999,671.820007,57jo0306,,
326,49.299999,672.48999,59goe523,,
327,49.380001,672.049988,16ma4715,,
328,48.529999,671.130005,83ga6071,,
329,49.34,671.710022,busan94aa5279,,
330,48.799999,671.380005,daegu82aa5103,,
331,49.130001,671.72998,91aoe5767,,
332,48.799999,671.219971,28bu770,,
333,49.259998,671.5,36du767,,
334,49.279999,671.469971,busan93aa1032,,
335,48.77,671.090027,08du0634,,
336,48.330002,670.780029,42joe1738,,
337,48.18,671.169983,97ra5591,,
338,48.240002,670.75,55aoe4823,,
339,48.689999,671.119995,53so7212,,
340,49.34,672.359985,roe,,
341,48,670.26001,64do1018,,
342,48.59,671.049988,42nu5107,,
343,48.009998,670.409973,oo,,
344,48.509998,670.960022,16ra2060,,
345,49.220001,671.570007,39wu7603,,
346,47.82,670.539978,42ro3424,,
347,48.720001,670.650024,18ho010,,
348,48.080002,670.75,62no8943,,
349,47.82,670.22998,45boe3198,,
350,47.540001,670.049988,daejeon87aa5637,,
351,48.060001,670.97998,doe,,
352,47.59,669.98999,18ga9716,,
353,47.639999,670.070007,82su3155,,
354,49.59,672.080017,60da7108,,
355,48.630001,670.950012,su3456,,
356,49.360001,671.830017,47bu204,,
357,49.57,672.830017,58da6456,,
358,49.049999,671.590027,37oo0362,,
359,48.189999,670.460022,jeonnam80ba8676,,
360,49.009998,671.309998,chungbuk14go7592,,
361,49.450001,672.549988,21doe8868,,
362,48.07,670.590027,93ru3288,,
363,48.009998,670.400024,55wu9773,,
364,48.060001,670.669983,nu2324,,
365,49.470001,671.809998,14do7801,,
366,47.869999,670.280029,83bu9897,,
367,48.970001,671.609985,incheon82ba8835,,
368,48.330002,670.710022,59du0408,,
369,48.380001,670.76001,89go4084,,
370,49.34,672.380005,gangwon28go2163,,
371,49.09,671.73999,156ju1610,,
372,47.060001,671.580017,110101,,
373,48.41,671.77002,89jo2828,,
374,49.009998,671.23999,40ha584,,
375,49.240002,671.77002,busan90ba9999,,
376,48.220001,670.369995,daejeon99ba3142,,
377,48.580002,670.969971,60go5405,,
378,48.990002,671.820007,87aa8385,,
379,48.709999,671.200012,21soe9272,,
380,49.009998,671.47998,jeonnam91ba9832,,
381,47.619999,669.809998,24gu4373,,
382,48.66,671.039978,25do9663,,
383,49.25,671.630005,05mu5342,,
384,48.029999,670.109985,81gu8478,,
385,48.869999,673.039978,boe,,
386,48.18,670.960022,82du8752,,
387,48.66,671.210022,48so4710,,
388,48.099998,670.650024,jo0378,,
389,49.450001,672.130005,36du0869,,
390,48.939999,671.210022,gyeongnam81sa1291,,
391,47.560001,670.77002,37na8451,,
392,49.34,671.890015,35moe1303,,
393,48.259998,670.530029,chungnam80aa1937,,
394,48.330002,670.530029,49go9492,,
395,48.150002,670.869995,35ma5137,,
396,47.82,670.359985,63wu6593,,
397,47.41,669.799988,42roe3777,,
398,48.25,670.859985,41gu1087,,
399,48.849998,671.210022,25do6145,,
400,48.02,671.080017,da,,
401,48.220001,670.559998,09ju779,,
402,47.82,670.380005,2na6083,,
403,48.759998,671.130005,37doe034,,
404,47.959999,670.789978,29joe6193,,
405,48.189999,670.320007,14so7568,,
406,47.93,670.150024,67ro9821,,
407,49.119999,671.429993,32493,,
408,48.419998,671.23999,81mu8864,,
409,48.02,670.98999,25du4587,,
410,48.98,670.72998,gyeonggi88ja1178,,
411,48.889999,671.98999,31da6475,,
412,48.490002,671.109985,89nu3659,,
413,47.5,669.940002,69moe630,,
414,48.91,672.460022,boe,,
415,48.82,671.099976,gyeongnam82aa3571,,
416,49.240002,673.429993,boe,,
417,47.450001,670.190002,95do5974,,
418,48.490002,670.950012,13goe148,,
419,47.57,669.97998,67wu0184,,
420,48.060001,670.440002,incheon99ba3504,,
421,48.830002,671.369995,6moe6875,,
422,47.849998,670.200012,53su1418,,
423,47.93,670.599976,08no9500,,
424,48,670.440002,27gu2857,,
425,49.389999,671.789978,96jo6299,,
426,48.52,671.070007,14moe8727,,
427,47.66,670.130005,39no6935,,
428,47.66,670.330017,01go5263,,
429,49.330002,672.039978,40ba4623,,
430,47.700001,671.130005,89ga2395,,
431,48.16,670.409973,27bu8950,,
432,48.110001,672.909973,jeonnam81ba3127,,
433,49.419998,672.340027,jeonnam06ka3669,,
434,48.529999,671.27002,46da5346,,
435,48.27,670.380005,14boe6285,,
436,48.73,671.299988,25doe394,,
437,47.700001,670.190002,1ga3549,,
438,47.560001,669.890015,12ho1641,,
439,48.970001,671.26001,09doe0859,,
440,49.049999,671.559998,29oo1675,,
441,49.099998,671.570007,30ha4385,,
442,49.389999,672.469971,40ga5639,,
443,47.75,670.309998,83soe7574,,
444,47.299999,669.52002,06joe5301,,
445,49.299999,671.419983,busan92aa7119,,
446,48.619999,671.059998,45du9311,,
447,48.860001,671.320007,50ha4090,,
448,47.68,670.169983,54ro3057,,
449,49.32,671.630005,41so3748,,
450,47.41,670.580017,08ga1911,,
451,49.400002,671.369995,67moe2025,,
452,48.299999,670.890015,26moe356,,
453,47.720001,669.460022,goe185,,
454,48.959999,671.359985,12ba531,,
455,48.43,670.840027,18soe3802,,
456,47.639999,669.919983,92ma7400,,
457,47.91,670.469971,34doe081,,
458,48.389999,670.440002,97mo624,,
459,47.68,669.880005,28mu847,,
460,47.73,672.090027,87roe4733,,
461,48.939999,671.070007,06mu5871,,
462,48.43,671.22998,50boe1832,,
463,48.169998,670.630005,74so4056,,
464,48.23,670.22998,gyeonggi92aa7378,,
465,48.049999,670.450012,43mo9027,,
466,48.009998,670.52002,38do4751,,
467,48.73,671.23999,09jo0873,,
468,47.639999,670.080017,15mo8720,,
469,49.439999,671.619995,19aoe5187,,
470,49.200001,671.599976,03oo6211,,
471,47.5,669.940002,91215,,
472,47.91,670.070007,gangwon83ba1717,,
473,48.369999,670.72998,46aoe4732,,
474,49.099998,671.859985,80ja147,,
475,49.130001,671.460022,42joe1374,,
476,47.849998,670.419983,50ra4565,,
477,49.259998,671.72998,25gu4342,,
478,49.09,671.960022,58nu6815,,
479,48.18,670.619995,18go5481,,
480,47.959999,670.369995,49ju1963,,
481,48.77,671.460022,35noe3336,,
482,47.990002,670.330017,62moe9836,,
483,48.799999,671.469971,35oo3543,,
484,48.16,670.820007,28wu0970,,
485,48,670.380005,81aoe4356,,
486,48.009998,670.539978,96jo9250,,
487,48.41,670.97998,19no8728,,
488,47.619999,670.22998,82doe9458,,
489,47.869999,670.450012,87do291,,
491,49.119999,671.570007,54joe0804,,
492,48.060001,670.679993,04na4597,,
493,48.990002,671.940002,68ha195,,
494,47.650002,669.940002,48nu6302,,
495,49.16,671.75,84nu3082,,
496,48.02,670.390015,23noe5841,,
497,48.09,670.609985,92gu4082,,
498,48.450001,670.690002,97noe7617,,
499,48.470001,671.030029,36na1196,,
500,48.060001,670.289978,17ru4915,,
501,49.080002,671.400024,gangwon86ba2503,,
502,46.84,671,50go587,,
503,48.869999,671.22998,36do3808,,
504,47.959999,670.599976,83moe3967,,
505,47.84,670.210022,1joe1832,,
506,48.860001,671.01001,34go1992,,
507,48.220001,670.309998,gyeonggi90sa2349,,
508,48.450001,670.559998,chungbuk80ja6682,,
509,48.540001,671.119995,chungbuk87ja2066,,
510,48.169998,670.640015,13joe1323,,
511,48.029999,671.609985,47gu8424,,
512,48.110001,670.940002,71bu1079,,
513,48.18,670.73999,35so4679,,
514,48.709999,671.630005,06pa1036,,
515,48.200001,670.849976,59roe5604,,
516,47.84,670.650024,42aoe7275,,
517,48.349998,670.900024,busan95aa7710,,
518,48.25,671.440002,78soe7597,,
519,48.139999,670.559998,26ga2732,,
520,48.990002,672.280029,17do3800,,
521,49.349998,671.76001,91nu4978,,
522,47.810001,670.309998,6jo9538,,
523,47.810001,670.299988,6boe1630,,
524,48.790001,671.23999,chungnam99sa9063,,
525,47.57,670.039978,14du4351,,
526,48.419998,670.669983,55joe8974,,
527,48.830002,671.450012,69noe4013,,
528,47.669998,669.809998,incheon86ba8987,,
529,48.990002,671.570007,46bo5957,,
530,48.5,671.159973,gyeonggi80ba7954,,
531,48.349998,671.77002,gyeonggi38doe1573,,
532,48.5,670.950012,gyeonggi83ba3163,,
533,47.900002,670.130005,36bo2695,,
534,48.669998,671.25,15ga2051,,
535,49.099998,671.440002,67du7851,,
536,48.91,671.539978,91jo1541,,
537,47.98,670.400024,daejeon87aa7158,,
538,48.68,671.72998,51ro2279,,
539,48.16,673.869995,chungbuk84aa6803,,
540,49.049999,671.51001,36mo1594,,
541,48.73,671.119995,jeonbuk80sa7089,,
542,49.16,671.570007,seoul80ba3890,,
543,49.18,671.619995,64mo1376,,
544,49.380001,671.859985,67ro7409,,
545,48.130001,670.340027,58ha1204,,
546,47.84,670.380005,66boe3822,,
547,48.310001,670.450012,chungbuk98ba5247,,
548,47.73,670.469971,93do6834,,
549,48.290001,670.140015,jeonnam70ja4362,,
550,48.029999,670.609985,23soe7357,,
551,49.450001,672.659973,87gu4672,,
552,48.169998,670.559998,chungbuk84aa5941,,
553,48.669998,671.159973,15ma3330,,
554,48.330002,671.049988,20ho3234,,
555,49.279999,672.059998,93goe6808,,
556,49.610001,671.859985,chungbuk82aa2588,,
557,49.029999,672.25,56no2866,,
558,48.959999,671.450012,12mo0156,,
559,47.66,671.130005,03jo1257,,
560,49.25,672,56gu6901,,
561,48.490002,670.859985,gyeongnam81aa1706,,
562,47.459999,670.72998,64ro3450,,
563,48.599998,671.320007,83soe7619,,
564,48.139999,670.119995,17ro1875,,
565,48.43,671.049988,85sa4157,,
566,47.759998,670.330017,45da097,,
567,47.299999,669.700012,3mo6346,,
568,47.93,669.919983,74ro9780,,
569,48.080002,670.22998,gyeonggi90ja6732,,
570,47.459999,670.219971,86ro7767,,
571,49.369999,672.400024,03su6533,,
572,49.380001,672.52002,86ga5656,,
573,49.509998,672.580017,gyeonggi85sa5737,,
574,48.509998,671.719971,83ga970,,
575,49.119999,671.849976,97ga3260,,
576,48.48,670.809998,81joe3697,,
577,48.799999,671.159973,60wu2672,,
578,48.349998,672,14joe474,,
579,48.5,671.72998,gyeongnam15go5745,,
580,48.900002,671.23999,33joe2710,,
581,48.939999,671.429993,39mu8075,,
582,48.07,670.580017,67ru1946,,
583,48.209999,670.929993,busan90aa3066,,
584,47.799999,670.48999,42ro3662,,
585,48.709999,670.840027,64ra318,,
586,49.450001,672.109985,89do8986,,
587,49.380001,672.530029,30noe8086,,
588,48.830002,671.080017,95ba1091,,
589,47.759998,670.030029,8moe4061,,
590,47.560001,671,43wu6786,,
591,49.470001,671.950012,45nu7691,,
592,49.48,672.049988,73joe6064,,
593,47.799999,670.280029,81do976,,
594,49.049999,671.330017,20so9742,,
595,48.240002,670.75,24bo7516,,
596,47.630001,670.219971,02bo9129,,
597,49.560001,671.73999,16goe5425,,
598,48.68,671.22998,69da0746,,
599,48.860001,672.070007,92ga5405,,
600,48.849998,671.280029,jeonbuk91sa5393,,
601,47.84,670.299988,24go6202,,
602,49.080002,671.840027,39su420,,
603,47.720001,669.890015,564ma7730,,
604,48.380001,671.059998,564bo2967,,
605,48.209999,670.690002,95moe7050,,
606,47.82,670.549988,64goe7352,,
607,48.700001,671.159973,05jo2316,,
608,48.080002,671.77002,53mo2434,,
609,49.240002,671.97998,63gu5597,,
610,47.98,670.109985,18mo991,,
611,47.790001,670.080017,chungbuk90aa1015,,
612,48.549999,671.049988,30ma7582,,
613,49.27,671.799988,97su2568,,
614,48.810001,671.549988,13boe7851,,
615,47.709999,669.98999,56ro4622,,
616,48.759998,671.419983,18jo5553,,
617,47.73,670.48999,63mu034,,
618,47.790001,670.280029,915joe4596,,
619,49.57,672.030029,19da2096,,
620,48.18,670.539978,42mo3427,,
621,48.970001,671.599976,chungnam91aa1308,,
622,48.43,670.679993,gangwon80ba2782,,
623,47.869999,670.140015,29da6537,,
624,47.5,671,boe,,
625,49.009998,671.460022,18oo3986,,
626,49.470001,671.950012,16ga3235,,
627,48.509998,671.190002,49wu8966,,
628,48.959999,671.530029,58aoe0916,,
629,48.470001,671.070007,34so7349,,
630,48.91,671.419983,gyeonggi90aa2076,,
631,48.040001,670.409973,chungbuk80ja5301,,
632,48.41,670.570007,81ru4024,,
633,49.389999,672.190002,29du3076,,
634,48.709999,671.5,68wu910,,
635,49.09,672.820007,49ma5438,,
636,48.389999,672.289978,80go4741,,
637,48.040001,670.52002,13ma7243,,
638,47.73,670.309998,43ju8818,,
639,48.580002,671.76001,06sa5753,,
640,48.25,670.390015,chungbuk82aa2565,,
641,47.73,670.98999,ro,,
642,47.689999,670.289978,69so8986,,
643,48.580002,670.900024,91da6790,,
644,48.439999,671,55boe7655,,
645,49.279999,673.140015,03ma1507,,
646,49.189999,671.77002,04ma0421,,
647,47.849998,670.419983,53doe8174,,
648,48.650002,671,chungbuk80aa564,,
649,48.009998,670.27002,96jo6246,,
650,48.32,670.880005,974267,,
651,47.990002,670.25,gwangju96aa1036,,
652,47.799999,670.140015,chungbuk82ja2347,,
653,47.68,669.940002,18so1383,,
654,47.700001,670.01001,53jo8594,,
655,47.869999,670.75,30da9277,,
656,48.380001,670.869995,92moe2483,,
657,47.810001,670.140015,09gu7320,,
658,48,670.5,66do6104,,
659,48.220001,671.570007,31ma7625,,
660,48.619999,670.890015,61ju5162,,
661,49.16,671.799988,87ma3871,,
662,49.009998,671.469971,jeonbuk91sa5088,,
663,48.189999,670.460022,30bo7027,,
664,48.439999,670.599976,30ha4812,,
665,49.34,671.97998,38do1757,,
666,47.43,669.619995,50su5255,,
667,47.799999,670.340027,48doe5908,,
668,49.130001,671.820007,58ho9213,,
669,47.82,670.330017,81goe3454,,
670,48.540001,670.940002,gangwon98ba1198,,
671,47.82,670.150024,chungbuk80aa9402,,
672,47.639999,670.070007,34so5194,,
673,47.290001,669.77002,28ju1982,,
674,48.169998,670.200012,55no9826,,
675,49.16,671.549988,76so6792,,
676,48.110001,670.700012,15aoe9713,,
677,48.290001,671.789978,31moe2348,,
678,48.689999,672.409973,38na2692,,
679,49.290001,671.840027,25moe599,,
680,47.59,670.039978,63moe8359,,
681,48.689999,671.23999,gyeonggi94ba8039,,
682,47.610001,670.289978,56na8018,,
683,48.990002,671.609985,69ha295,,
684,48.240002,670.419983,30su3030,,
685,48.830002,671.289978,ulsan80aa3464,,
686,48.25,670.5,70jo5835,,
687,48.59,671.130005,59bo6491,,
688,48.34,670.700012,50da7476,,
689,47.470001,669.919983,18ru8461,,
690,48.080002,670.349976,90da5393,,
691,49.509998,672.070007,85mo129,,
692,49.41,671.940002,busan99sa5157,,
693,48.220001,670.72998,22joe1616,,
694,48.27,670.549988,36ho3401,,
695,48.400002,670.900024,seoul90ba4944,,
696,47.869999,670.359985,59ru4648,,
697,48.23,671.070007,busan80moe6715,,
698,48.82,671.950012,85na1673,,
699,49.200001,672.23999,busan99sa909,,
700,47.98,670.450012,10su407,,
